repo_name,languages,stars_count,forks_count,resolution_time_hours
521xueweihan/HelloGitHub,Python,87515,9478,690.3833222222222
PanJiaChen/vue-element-admin,"JavaScript, HTML, Vue, CSS, Handlebars, SCSS",87050,30390,225.75494444444445
godotengine/godot,"C++, Python, Shell, Objective-C, Objective-C++, Java, JavaScript, C#, GLSL, CMake",86368,19232,8088.196511111111
ripienaar/free-for-dev,HTML,85566,9301,0
massgravel/Microsoft-Activation-Scripts,"Batchfile, HTML",85544,8354,899.9804944444444
papers-we-love/papers-we-love,Shell,85127,5672,7142.802438888889
nvbn/thefuck,"Python, Shell, Dockerfile, Batchfile, PowerShell",83599,3409,5106.5344888888885
storybookjs/storybook,"JavaScript, Shell, TypeScript, HTML, Vue, CSS, Svelte, EJS, SCSS, Handlebars",83399,9118,1934.1405750000001
microsoft/Web-Dev-For-Beginners,"JavaScript, HTML, CSS, Vue",82145,12251,181.03630555555554
fatedier/frp,"Makefile, Go, Shell, HTML, JavaScript, Vue, CSS, TypeScript",82063,12897,2437.5564611111113
iptv-org/iptv,"JavaScript, TypeScript",81013,2052,1567.919861111111
tailwindlabs/tailwindcss,"JavaScript, CSS, HTML, TypeScript, Rust",80303,4041,893.666125
animate-css/animate.css,"CSS, JavaScript, HTML, Shell",80106,16237,1246.146938888889
pytorch/pytorch,"CMake, Python, Shell, C++, C, Objective-C, Cuda, Batchfile, Makefile, Objective-C++",80117,21543,3668.66705
Hack-with-Github/Awesome-Hacking,,79915,8774,0
neovim/neovim,"Shell, CMake, Python, HTML, C, Lua, Makefile, Batchfile, Ruby, MATLAB",79837,5493,1671.3375777777778
gothinkster/realworld,"Shell, TypeScript, CSS, HTML, JavaScript, Procfile, MDX",79758,7273,18612.243619444445
krahets/hello-algo,"Java, C++, Python, Go, JavaScript, Swift, CMake, Dockerfile, Ruby",79650,10129,705.3756000000001
tauri-apps/tauri,"Rust, JavaScript, Shell, TypeScript, Batchfile, PowerShell, AppleScript, Standard ML, CSS, HTML",79563,2360,2925.2337777777775
