repo_name,month,languages,stars_count,forks_count,resolution_time_hours
hetznercloud/hcloud-cloud-controller-manager,2023-08,"Go, Shell, Dockerfile, Smarty, Jinja",675,108,1206.5517
megastruktur/foundryvtt-blades-in-the-dark,2023-08,"JavaScript, HTML, SCSS",37,98,447.1719152046783
miranda-ng/miranda-ng,2023-08,"Shell, Pascal, C, C++, Assembly, CSS, JavaScript, HTML, XSLT, TeX",473,122,1675.1592083333335
mobilitysol/monitorweb,2023-08,"YAML, Markdown, JSON",0,0,2.39265
pulumi/pulumi-eks,2023-08,"Makefile, TypeScript, Go, Shell, JavaScript, C#, Python, Java",168,77,2734.4370833333332
qallen028/nitter-instances,2023-08,"JSON, YAML, Markdown",4,2,160.34859444444442
LeetCode-Feedback/LeetCode-Feedback,2023-09,,650,302,46.536202777777774
SparksTheFolf/STF-Uptime-Status,2023-09,"JSON, YAML, Markdown",0,0,0.5565138888888889
X-Sharp/XSharpPublic,2023-09,"C#, xBase, SystemVerilog, C, Batchfile, HTML, Rich Text Format, Smarty, Vim Snippet, CSS",89,35,4072.4623916666665
aflori/projetAPI,2023-09,Java,0,1,198.35344444444445
gatewayd-io/gatewayd,2023-09,"Go, Makefile, CSS, HTML, JavaScript, Dockerfile, Shell",196,16,1666.8222333333333
ietf-tools/datatracker,2023-09,"JavaScript, Python, Shell, C, CSS, HTML, Dockerfile, TeX, Makefile, Perl",523,310,15255.192775000001
microsoft/ALAppExtensions,2023-09,"JavaScript, Perl, AL, CSS, PowerShell",747,600,4286.796672222222
rectorphp/rector,2023-09,PHP,8405,673,909.0813694444445
GoogleCloudPlatform/python-docs-samples,2023-10,"Python, Shell, CSS, HTML, JavaScript, Makefile, Dockerfile, Jupyter Notebook, Jinja, Procfile",7077,6343,1880.6239249999999
NCAR/geocat-applications,2023-10,"Jupyter Notebook, TeX, CSS, Makefile, Python, Batchfile, NCL",4,5,576.7359090909091
Nieuwe-Warmte-Nu/issues-and-project,2023-10,,0,0,743.0254305555555
RKTowse/upptime,2023-10,"JSON, YAML, Markdown",0,0,212.77502777777778
abdulmaleekadams/simple_shell,2023-10,C,0,1,163.01453333333333
fox0430/moe,2023-10,"Nim, Shell",627,32,700.449561111111
googleapis/python-compute,2023-10,,39,28,837.8598821548821
hshivhare67/kernel_v4.19.72_CVE-2023-0461,2023-10,"Makefile, Roff, C, Assembly, Shell, Perl, C++, Awk, Python, sed",0,2,4174.533641666667
information-artifact-ontology/ontology-metadata,2023-10,"Makefile, Shell, Batchfile, Scala, Ruby",19,8,13223.93144675926
zephyrproject-rtos/zephyr,2023-10,"Assembly, C, C++, Shell, Perl, Python, Verilog, CMake, Batchfile, EmberScript",10009,6157,4973.404233333333
AdguardTeam/AdguardFilters,2023-11,"Adblock Filter List, Shell, JavaScript",2921,613,328.01629444444444
VolumeFi/paloma,2023-11,"Shell, Go, Makefile, Dockerfile",3,2,951.3810166666667
apache/camel-kamelets,2023-11,"Gherkin, Java, Go, Groovy, Shell, Makefile, HCL",51,71,2028.5086694444444
boostcampwm2023/web11-SSOCK,2023-11,"JavaScript, HTML, TypeScript, Dockerfile, Shell",69,5,405.1052211934157
ganuza/MixMaster,2023-11,"HTML, CSS, JavaScript",0,0,6.063773148148147
pmav99/techrad-status,2023-11,"JSON, YAML, Markdown",0,0,0.8093611111111111
whytspace/upptime-holiday-lescala,2023-11,"JSON, YAML, Markdown",0,0,78.01158611111111
wormhole-foundation/wormhole-connect,2023-11,"HTML, CSS, TypeScript, Shell, JavaScript",70,47,890.5977333333333
DOI-USGS/asc-public-docs,2023-12,HTML,0,5,1550.5762713675215
JuliaGeometry/Meshes.jl,2023-12,Julia,375,79,1801.0727444444444
MaFi-Games/Captain-of-Industry-issues,2023-12,,21,4,2774.045272222222
Ultimaker/Cura,2023-12,"Python, QML, Shell, CMake, GLSL, HTML, Jinja, NSIS, XSLT, Rich Text Format",5957,2042,2096.4936166666666
Valdes-Tresanco-MS/gmx_MMPBSA,2023-12,"Python, Shell",198,63,1214.7813888888888
department-of-veterans-affairs/va.gov-team,2023-12,"JavaScript, Ruby, HTML, CSS, Jupyter Notebook, Shell, Python, TSQL, Roff, Hack",277,194,7420.032577777778
element-hq/synapse,2023-12,"Shell, JavaScript, Python, Perl, Lua, Rust, CSS, Nix, HTML, Dockerfile",970,110,3.702775
ghscr/ghscription,2023-12,,,,
h4sh5/pypi-auto-scanner,2023-12,"Python, Shell, Go",26,7,71.14234444444445
wbreiler/uptimemonitor,2023-12,"JSON, YAML, Markdown",0,0,72.023125
